user_code,denial_code,description,suggested_action
CO,86,Service exceeds targeted therapy limitation,Review targeted therapy-specific coverage restrictions
PI,245,Service requires metabolomics report,Complete required metabolomics report first
OA,59,Invalid code conformance,Update code conformance to current standards
CR,63,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,138,Patient coverage under yoga management,Contact yoga management program
CO,87,Service exceeds immunotherapy limitation,Review immunotherapy-specific coverage restrictions
PI,246,Service requires transcriptomics report,Complete required transcriptomics report first
OA,60,Invalid code observance,Update code observance to current standards
CR,64,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,139,Patient coverage under tai chi management,Contact tai chi management program
CO,88,Service exceeds gene therapy limitation,Review gene therapy-specific coverage restrictions
PI,247,Service requires epigenomics report,Complete required epigenomics report first
OA,61,Invalid code following,Update code following to current standards
CR,65,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,140,Patient coverage under qigong management,Contact qigong management program
CO,89,Service exceeds cell therapy limitation,Review cell therapy-specific coverage restrictions
PI,248,Service requires microbiomics report,Complete required microbiomics report first
OA,62,Invalid code tracking,Update code tracking to current standards
CR,66,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,141,Patient coverage under acupuncture management,Contact acupuncture management program
CO,90,Service exceeds tissue engineering limitation,Review tissue engineering-specific coverage restrictions
PI,249,Service requires viromics report,Complete required viromics report first
OA,63,Invalid code monitoring,Update code monitoring to current standards
CR,67,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,142,Patient coverage under chiropractic management,Contact chiropractic management program
CO,91,Service exceeds organ transplantation limitation,Review organ transplantation-specific coverage restrictions
PI,250,Service requires pharmacogenomics report,Complete required pharmacogenomics report first
OA,64,Invalid code surveillance,Update code surveillance to current standards
CR,68,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,143,Patient coverage under massage management,Contact massage management program
CO,92,Service exceeds stem cell therapy limitation,Review stem cell therapy-specific coverage restrictions
PI,251,Service requires nutrigenomics report,Complete required nutrigenomics report first
OA,65,Invalid code inspection,Update code inspection to current standards
CR,69,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,144,Patient coverage under reflexology management,Contact reflexology management program
CO,93,Service exceeds CAR-T therapy limitation,Review CAR-T therapy-specific coverage restrictions
PI,252,Service requires toxicogenomics report,Complete required toxicogenomics report first
OA,66,Invalid code examination,Update code examination to current standards
CR,70,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,145,Patient coverage under aromatherapy management,Contact aromatherapy management program
CO,94,Service exceeds CRISPR therapy limitation,Review CRISPR therapy-specific coverage restrictions
PI,253,Service requires environmental genomics report,Complete required environmental genomics report first
OA,67,Invalid code assessment,Update code assessment to current standards
CR,71,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,146,Patient coverage under hydrotherapy management,Contact hydrotherapy management program
CO,95,Service exceeds mRNA therapy limitation,Review mRNA therapy-specific coverage restrictions
PI,254,Service requires social genomics report,Complete required social genomics report first
OA,68,Invalid code evaluation,Update code evaluation to current standards
CR,72,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,147,Patient coverage under thermotherapy management,Contact thermotherapy management program
CO,96,Service exceeds DNA therapy limitation,Review DNA therapy-specific coverage restrictions
PI,255,Service requires behavioral genomics report,Complete required behavioral genomics report first
OA,69,Invalid code analysis,Update code analysis to current standards
CR,73,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,148,Patient coverage under cryotherapy management,Contact cryotherapy management program
CO,97,Service exceeds RNA therapy limitation,Review RNA therapy-specific coverage restrictions
PI,256,Service requires cognitive genomics report,Complete required cognitive genomics report first
OA,70,Invalid code review,Update code review to current standards
CR,74,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,149,Patient coverage under phototherapy management,Contact phototherapy management program
CO,98,Service exceeds protein therapy limitation,Review protein therapy-specific coverage restrictions
PI,257,Service requires emotional genomics report,Complete required emotional genomics report first
OA,71,Invalid code audit,Update code audit to current standards
CR,75,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,150,Patient coverage under magnetotherapy management,Contact magnetotherapy management program
CO,99,Service exceeds peptide therapy limitation,Review peptide therapy-specific coverage restrictions
PI,258,Service requires spiritual genomics report,Complete required spiritual genomics report first
OA,72,Invalid code verification,Update code verification to current standards
CR,76,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,151,Patient coverage under electrotherapy management,Contact electrotherapy management program
CO,100,Service exceeds antibody therapy limitation,Review antibody therapy-specific coverage restrictions
PI,259,Service requires cultural genomics report,Complete required cultural genomics report first
OA,73,Invalid code validation,Update code validation to current standards
CR,77,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,152,Patient coverage under ultrasound therapy management,Contact ultrasound therapy management program
CO,101,Service exceeds vaccine therapy limitation,Review vaccine therapy-specific coverage restrictions
PI,260,Service requires lifestyle genomics report,Complete required lifestyle genomics report first
OA,74,Invalid code confirmation,Update code confirmation to current standards
CR,78,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,153,Patient coverage under laser therapy management,Contact laser therapy management program
CO,102,Service exceeds enzyme therapy limitation,Review enzyme therapy-specific coverage restrictions
PI,261,Service requires dietary genomics report,Complete required dietary genomics report first
OA,75,Invalid code authentication,Update code authentication to current standards
CR,79,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,154,Patient coverage under infrared therapy management,Contact infrared therapy management program
CO,103,Service exceeds hormone therapy limitation,Review hormone therapy-specific coverage restrictions
PI,262,Service requires exercise genomics report,Complete required exercise genomics report first
OA,76,Invalid code authorization,Update code authorization to current standards
CR,80,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,155,Patient coverage under ultraviolet therapy management,Contact ultraviolet therapy management program
CO,104,Service exceeds vitamin therapy limitation,Review vitamin therapy-specific coverage restrictions
PI,263,Service requires sleep genomics report,Complete required sleep genomics report first
OA,77,Invalid code approval,Update code approval to current standards
CR,81,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,156,Patient coverage under X-ray therapy management,Contact X-ray therapy management program
CO,105,Service exceeds mineral therapy limitation,Review mineral therapy-specific coverage restrictions
PI,264,Service requires stress genomics report,Complete required stress genomics report first
OA,78,Invalid code clearance,Update code clearance to current standards
CR,82,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,157,Patient coverage under gamma ray therapy management,Contact gamma ray therapy management program
CO,106,Service exceeds herbal therapy limitation,Review herbal therapy-specific coverage restrictions
PI,265,Service requires meditation genomics report,Complete required meditation genomics report first
OA,79,Invalid code permission,Update code permission to current standards
CR,83,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,158,Patient coverage under proton therapy management,Contact proton therapy management program
CO,107,Service exceeds botanical therapy limitation,Review botanical therapy-specific coverage restrictions
PI,266,Service requires mindfulness genomics report,Complete required mindfulness genomics report first
OA,80,Invalid code consent,Update code consent to current standards
CR,84,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,159,Patient coverage under neutron therapy management,Contact neutron therapy management program
CO,108,Service exceeds homeopathic therapy limitation,Review homeopathic therapy-specific coverage restrictions
PI,267,Service requires yoga genomics report,Complete required yoga genomics report first
OA,81,Invalid code agreement,Update code agreement to current standards
CR,85,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,160,Patient coverage under carbon ion therapy management,Contact carbon ion therapy management program
CO,109,Service exceeds naturopathic therapy limitation,Review naturopathic therapy-specific coverage restrictions
PI,268,Service requires tai chi genomics report,Complete required tai chi genomics report first
OA,82,Invalid code contract,Update code contract to current standards
CR,86,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,161,Patient coverage under heavy ion therapy management,Contact heavy ion therapy management program
CO,110,Service exceeds ayurvedic therapy limitation,Review ayurvedic therapy-specific coverage restrictions
PI,269,Service requires qigong genomics report,Complete required qigong genomics report first
OA,83,Invalid code covenant,Update code covenant to current standards
CR,87,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,162,Patient coverage under boron neutron capture therapy management,Contact boron neutron capture therapy management program
CO,111,Service exceeds traditional Chinese medicine therapy limitation,Review traditional Chinese medicine therapy-specific coverage restrictions
PI,270,Service requires acupuncture genomics report,Complete required acupuncture genomics report first
OA,84,Invalid code pledge,Update code pledge to current standards
CR,88,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,163,Patient coverage under fast neutron therapy management,Contact fast neutron therapy management program
CO,112,Service exceeds traditional Indian medicine therapy limitation,Review traditional Indian medicine therapy-specific coverage restrictions
PI,271,Service requires chiropractic genomics report,Complete required chiropractic genomics report first
OA,85,Invalid code promise,Update code promise to current standards
CR,89,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,164,Patient coverage under slow neutron therapy management,Contact slow neutron therapy management program
CO,113,Service exceeds traditional African medicine therapy limitation,Review traditional African medicine therapy-specific coverage restrictions
PI,272,Service requires massage genomics report,Complete required massage genomics report first
OA,86,Invalid code commitment,Update code commitment to current standards
CR,90,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,165,Patient coverage under thermal neutron therapy management,Contact thermal neutron therapy management program
CO,114,Service exceeds traditional Native American medicine therapy limitation,Review traditional Native American medicine therapy-specific coverage restrictions
PI,273,Service requires reflexology genomics report,Complete required reflexology genomics report first
OA,87,Invalid code obligation,Update code obligation to current standards
CR,91,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,166,Patient coverage under epithermal neutron therapy management,Contact epithermal neutron therapy management program
CO,115,Service exceeds traditional European medicine therapy limitation,Review traditional European medicine therapy-specific coverage restrictions
PI,274,Service requires aromatherapy genomics report,Complete required aromatherapy genomics report first
OA,88,Invalid code duty,Update code duty to current standards
CR,92,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,167,Patient coverage under hyperthermal neutron therapy management,Contact hyperthermal neutron therapy management program
CO,116,Service exceeds traditional Middle Eastern medicine therapy limitation,Review traditional Middle Eastern medicine therapy-specific coverage restrictions
PI,275,Service requires hydrotherapy genomics report,Complete required hydrotherapy genomics report first
OA,89,Invalid code responsibility,Update code responsibility to current standards
CR,93,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,168,Patient coverage under hypothermal neutron therapy management,Contact hypothermal neutron therapy management program
CO,117,Service exceeds traditional South American medicine therapy limitation,Review traditional South American medicine therapy-specific coverage restrictions
PI,276,Service requires thermotherapy genomics report,Complete required thermotherapy genomics report first
OA,90,Invalid code accountability,Update code accountability to current standards
CR,94,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,169,Patient coverage under isothermal neutron therapy management,Contact isothermal neutron therapy management program
CO,118,Service exceeds traditional Australian medicine therapy limitation,Review traditional Australian medicine therapy-specific coverage restrictions
PI,277,Service requires cryotherapy genomics report,Complete required cryotherapy genomics report first
OA,91,Invalid code liability,Update code liability to current standards
CR,95,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,170,Patient coverage under adiabatic neutron therapy management,Contact adiabatic neutron therapy management program
CO,119,Service exceeds traditional Pacific Islander medicine therapy limitation,Review traditional Pacific Islander medicine therapy-specific coverage restrictions
PI,278,Service requires phototherapy genomics report,Complete required phototherapy genomics report first
OA,92,Invalid code answerability,Update code answerability to current standards
CR,96,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,171,Patient coverage under isentropic neutron therapy management,Contact isentropic neutron therapy management program
CO,120,Service exceeds traditional Arctic medicine therapy limitation,Review traditional Arctic medicine therapy-specific coverage restrictions
PI,279,Service requires magnetotherapy genomics report,Complete required magnetotherapy genomics report first
OA,93,Invalid code amenability,Update code amenability to current standards
CR,97,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,172,Patient coverage under isobaric neutron therapy management,Contact isobaric neutron therapy management program
CO,121,Service exceeds traditional Antarctic medicine therapy limitation,Review traditional Antarctic medicine therapy-specific coverage restrictions
PI,280,Service requires electrotherapy genomics report,Complete required electrotherapy genomics report first
OA,94,Invalid code susceptibility,Update code susceptibility to current standards
CR,98,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,173,Patient coverage under isochoric neutron therapy management,Contact isochoric neutron therapy management program
CO,122,Service exceeds traditional Desert medicine therapy limitation,Review traditional Desert medicine therapy-specific coverage restrictions
PI,281,Service requires ultrasound therapy genomics report,Complete required ultrasound therapy genomics report first
OA,95,Invalid code vulnerability,Update code vulnerability to current standards
CR,99,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,174,Patient coverage under isometric neutron therapy management,Contact isometric neutron therapy management program
CO,123,Service exceeds traditional Mountain medicine therapy limitation,Review traditional Mountain medicine therapy-specific coverage restrictions
PI,282,Service requires laser therapy genomics report,Complete required laser therapy genomics report first
OA,96,Invalid code exposure,Update code exposure to current standards
CR,100,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,175,Patient coverage under isotonic neutron therapy management,Contact isotonic neutron therapy management program
CO,124,Service exceeds traditional Forest medicine therapy limitation,Review traditional Forest medicine therapy-specific coverage restrictions
PI,283,Service requires infrared therapy genomics report,Complete required infrared therapy genomics report first
OA,97,Invalid code risk,Update code risk to current standards
CR,101,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,176,Patient coverage under isoelectric neutron therapy management,Contact isoelectric neutron therapy management program
CO,125,Service exceeds traditional Ocean medicine therapy limitation,Review traditional Ocean medicine therapy-specific coverage restrictions
PI,284,Service requires ultraviolet therapy genomics report,Complete required ultraviolet therapy genomics report first
OA,98,Invalid code hazard,Update code hazard to current standards
CR,102,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,177,Patient coverage under isomagnetic neutron therapy management,Contact isomagnetic neutron therapy management program
CO,126,Service exceeds traditional River medicine therapy limitation,Review traditional River medicine therapy-specific coverage restrictions
PI,285,Service requires X-ray therapy genomics report,Complete required X-ray therapy genomics report first
OA,99,Invalid code peril,Update code peril to current standards
CR,103,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,178,Patient coverage under isoelectric neutron therapy management,Contact isoelectric neutron therapy management program
CO,127,Service exceeds traditional Lake medicine therapy limitation,Review traditional Lake medicine therapy-specific coverage restrictions
PI,286,Service requires gamma ray therapy genomics report,Complete required gamma ray therapy genomics report first
OA,100,Invalid code danger,Update code danger to current standards
CR,104,Medicare TCM plan primary,Submit to Medicare TCM plan first
